Start Time, Fri Nov 08 2024 12:57:52 GMT-0600 (Central Standard Time)
Energy calibration,  Offset: 0.5227000117, Slope: 0.4595000148, Quadratic: 0
Live Time (s), 1060.2
Real Time (s), 1066.16
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
231, 106.6672034305, 57
232, 107.1267034453, 43
233, 107.5862034601, 33
234, 108.0457034749, 54
235, 108.50520348970001, 54
236, 108.96470350450001, 46
237, 109.42420351930001, 34
238, 109.88370353410001, 51
239, 110.34320354890001, 58
240, 110.8027035637, 54
241, 111.2622035785, 45
242, 111.7217035933, 40
243, 112.1812036081, 52
244, 112.6407036229, 48
245, 113.1002036377, 51
246, 113.5597036525, 52
247, 114.0192036673, 41
248, 114.4787036821, 57
249, 114.9382036969, 43
250, 115.3977037117, 56
251, 115.8572037265, 48
252, 116.3167037413, 45
253, 116.7762037561, 48
254, 117.2357037709, 34
255, 117.6952037857, 52
256, 118.1547038005, 43
257, 118.6142038153, 45
258, 119.0737038301, 41
259, 119.5332038449, 44
260, 119.9927038597, 68
261, 120.4522038745, 59
262, 120.9117038893, 37
263, 121.3712039041, 58
264, 121.8307039189, 43
265, 122.2902039337, 39
266, 122.7497039485, 57
267, 123.2092039633, 53
268, 123.6687039781, 53
269, 124.1282039929, 50
270, 124.5877040077, 49
271, 125.0472040225, 43
272, 125.5067040373, 61
273, 125.9662040521, 45
274, 126.4257040669, 48
275, 126.8852040817, 48
276, 127.3447040965, 59
277, 127.8042041113, 44
278, 128.2637041261, 52
279, 128.7232041409, 43
280, 129.1827041557, 46
281, 129.6422041705, 58
282, 130.1017041853, 67
283, 130.5612042001, 49
284, 131.0207042149, 43
285, 131.4802042297, 45
286, 131.9397042445, 37
287, 132.3992042593, 46
288, 132.8587042741, 50
289, 133.3182042889, 45
290, 133.7777043037, 53
291, 134.2372043185, 48
292, 134.6967043333, 47
293, 135.1562043481, 54
294, 135.6157043629, 41
295, 136.0752043777, 51
296, 136.5347043925, 42
297, 136.9942044073, 67
298, 137.4537044221, 53
299, 137.91320443690003, 40
300, 138.37270445170003, 58
301, 138.83220446650003, 51
302, 139.29170448130003, 61
303, 139.75120449610003, 39
304, 140.21070451090003, 34
305, 140.67020452570003, 41
306, 141.12970454050003, 48
307, 141.58920455530003, 49
308, 142.04870457010003, 44
309, 142.50820458490003, 46
310, 142.96770459970003, 49
311, 143.42720461450003, 45
312, 143.88670462930003, 43
313, 144.34620464410003, 36
314, 144.80570465890003, 56
315, 145.26520467370003, 53
316, 145.72470468850003, 43
317, 146.18420470330003, 53
318, 146.64370471810003, 41
319, 147.10320473290002, 44
320, 147.56270474770002, 54
321, 148.02220476250002, 41
322, 148.48170477730002, 44
323, 148.94120479210002, 59
324, 149.40070480690002, 56
325, 149.86020482170002, 53
326, 150.31970483650002, 55
327, 150.77920485130002, 46
328, 151.23870486610002, 51
329, 151.69820488090002, 47
330, 152.15770489570002, 54
331, 152.61720491050002, 58
332, 153.07670492530002, 46
333, 153.53620494010002, 45
334, 153.99570495490002, 43
335, 154.45520496970002, 43
336, 154.91470498450002, 43
337, 155.37420499930002, 43
338, 155.83370501410002, 48
339, 156.29320502890002, 51
340, 156.75270504370002, 48
341, 157.21220505850002, 47
342, 157.67170507330002, 59
343, 158.13120508810002, 36
344, 158.59070510290002, 48
345, 159.05020511770002, 41
346, 159.50970513250002, 52
347, 159.96920514730002, 37
348, 160.42870516210002, 70
349, 160.88820517690002, 47
350, 161.34770519170002, 62
351, 161.80720520650002, 46
352, 162.26670522130001, 40
353, 162.72620523610001, 51
354, 163.1857052509, 56
355, 163.6452052657, 46
356, 164.1047052805, 62
357, 164.5642052953, 35
358, 165.0237053101, 41
359, 165.4832053249, 47
360, 165.9427053397, 56
361, 166.4022053545, 49
362, 166.8617053693, 51
363, 167.3212053841, 41
364, 167.7807053989, 46
365, 168.2402054137, 58
366, 168.6997054285, 51
367, 169.1592054433, 36
368, 169.6187054581, 51
369, 170.0782054729, 52
370, 170.5377054877, 43
371, 170.9972055025, 49
372, 171.4567055173, 35
373, 171.9162055321, 48
374, 172.3757055469, 49
375, 172.8352055617, 41
376, 173.2947055765, 49
377, 173.7542055913, 51
378, 174.2137056061, 58
379, 174.6732056209, 47
380, 175.1327056357, 52
381, 175.5922056505, 49
382, 176.0517056653, 50
383, 176.5112056801, 46
384, 176.9707056949, 46
385, 177.43020570970003, 46
386, 177.88970572450003, 53
387, 178.34920573930003, 36
388, 178.80870575410003, 45
389, 179.26820576890003, 48
390, 179.72770578370003, 43
391, 180.18720579850003, 37
392, 180.64670581330003, 51
393, 181.10620582810003, 55
394, 181.56570584290003, 49
395, 182.02520585770003, 37
396, 182.48470587250003, 41
397, 182.94420588730003, 48
398, 183.40370590210003, 45
399, 183.86320591690003, 46
400, 184.32270593170003, 40
401, 184.78220594650003, 49
402, 185.24170596130003, 48
403, 185.70120597610003, 33
404, 186.16070599090003, 46
405, 186.62020600570003, 42
406, 187.07970602050003, 43
407, 187.53920603530003, 53
408, 187.99870605010003, 45
409, 188.45820606490003, 47
410, 188.91770607970003, 44
411, 189.37720609450002, 44
412, 189.83670610930002, 39
413, 190.29620612410002, 41
414, 190.75570613890002, 42
415, 191.21520615370002, 43
416, 191.67470616850002, 36
417, 192.13420618330002, 36
418, 192.59370619810002, 48
419, 193.05320621290002, 53
420, 193.51270622770002, 45
421, 193.97220624250002, 45
422, 194.43170625730002, 46
423, 194.89120627210002, 42
424, 195.35070628690002, 33
425, 195.81020630170002, 32
426, 196.26970631650002, 38
427, 196.72920633130002, 53
428, 197.18870634610002, 44
429, 197.64820636090002, 46
430, 198.10770637570002, 30
431, 198.56720639050002, 55
432, 199.02670640530002, 43
