Start Time, Fri Nov 08 2024 12:57:52 GMT-0600 (Central Standard Time)
Energy calibration,  Offset: 0.5227000117, Slope: 0.4595000148, Quadratic: 0
Live Time (s), 896.25
Real Time (s), 901.95
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
758, 348.8237112301, 45
759, 349.28321124490003, 46
760, 349.7427112597, 41
761, 350.20221127450003, 36
762, 350.6617112893, 37
763, 351.12121130410003, 28
764, 351.5807113189, 38
765, 352.04021133370003, 44
766, 352.4997113485, 43
767, 352.9592113633, 42
768, 353.4187113781, 38
769, 353.8782113929, 30
770, 354.33771140770006, 37
771, 354.7972114225, 39
772, 355.25671143730005, 32
773, 355.7162114521, 36
774, 356.17571146690005, 37
775, 356.6352114817, 30
776, 357.09471149650005, 45
777, 357.5542115113, 48
778, 358.01371152610005, 42
779, 358.4732115409, 42
780, 358.93271155570005, 48
781, 359.3922115705, 41
782, 359.85171158530005, 31
783, 360.3112116001, 46
784, 360.77071161490005, 42
785, 361.2302116297, 36
786, 361.68971164450005, 51
787, 362.1492116593, 38
788, 362.60871167410005, 37
789, 363.0682116889, 40
790, 363.52771170370005, 43
791, 363.9872117185, 37
792, 364.44671173330005, 44
793, 364.9062117481, 39
794, 365.36571176290005, 25
795, 365.8252117777, 50
796, 366.28471179250005, 49
797, 366.7442118073, 44
798, 367.20371182210005, 33
799, 367.6632118369, 43
800, 368.12271185170005, 45
801, 368.5822118665, 37
802, 369.04171188130005, 34
803, 369.5012118961, 36
804, 369.96071191090005, 45
805, 370.4202119257, 45
806, 370.87971194050004, 32
807, 371.3392119553, 40
808, 371.79871197010004, 38
809, 372.2582119849, 44
810, 372.71771199970004, 37
811, 373.1772120145, 41
812, 373.63671202930004, 38
813, 374.0962120441, 44
814, 374.55571205890004, 33
815, 375.0152120737, 40
816, 375.47471208850004, 44
817, 375.9342121033, 36
818, 376.39371211810004, 39
819, 376.8532121329, 44
820, 377.31271214770004, 46
821, 377.7722121625, 56
822, 378.23171217730004, 34
823, 378.6912121921, 43
824, 379.15071220690004, 46
825, 379.6102122217, 41
826, 380.06971223650004, 33
827, 380.5292122513, 42
828, 380.98871226610004, 51
829, 381.4482122809, 38
830, 381.90771229570004, 40
831, 382.3672123105, 37
832, 382.82671232530004, 41
833, 383.2862123401, 38
834, 383.74571235490004, 51
835, 384.2052123697, 38
836, 384.66471238450004, 42
837, 385.1242123993, 30
838, 385.58371241410003, 36
839, 386.0432124289, 45
840, 386.50271244370003, 38
841, 386.9622124585, 38
842, 387.42171247330003, 50
843, 387.8812124881, 56
844, 388.34071250290003, 41
845, 388.8002125177, 39
846, 389.25971253250003, 50
847, 389.7192125473, 40
848, 390.17871256210003, 34
849, 390.6382125769, 43
850, 391.09771259170003, 37
851, 391.5572126065, 48
852, 392.01671262130003, 35
853, 392.4762126361, 36
854, 392.93571265090003, 29
855, 393.39521266570006, 33
856, 393.85471268050003, 39
857, 394.31421269530006, 61
858, 394.7737127101, 37
859, 395.23321272490006, 31
860, 395.6927127397, 47
861, 396.15221275450006, 30
862, 396.6117127693, 41
863, 397.07121278410006, 36
864, 397.5307127989, 37
865, 397.99021281370005, 41
866, 398.4497128285, 42
867, 398.90921284330005, 38
868, 399.3687128581, 45
869, 399.82821287290005, 43
870, 400.2877128877, 42
871, 400.74721290250005, 52
872, 401.2067129173, 44
873, 401.66621293210005, 54
874, 402.1257129469, 45
875, 402.58521296170005, 46
876, 403.0447129765, 52
877, 403.50421299130005, 38
878, 403.9637130061, 39
879, 404.42321302090005, 36
880, 404.8827130357, 41
881, 405.34221305050005, 45
882, 405.8017130653, 21
883, 406.26121308010005, 43
884, 406.7207130949, 51
885, 407.18021310970005, 37
886, 407.6397131245, 45
887, 408.09921313930005, 47
888, 408.5587131541, 44
889, 409.01821316890005, 37
890, 409.4777131837, 33
891, 409.93721319850005, 49
892, 410.3967132133, 53
893, 410.85621322810005, 38
894, 411.3157132429, 34
895, 411.77521325770005, 32
896, 412.2347132725, 36
897, 412.69421328730004, 38
898, 413.1537133021, 32
899, 413.61321331690004, 34
900, 414.0727133317, 53
901, 414.53221334650004, 35
902, 414.9917133613, 41
903, 415.45121337610004, 44
904, 415.9107133909, 45
905, 416.37021340570004, 41
906, 416.8297134205, 39
907, 417.28921343530004, 47
908, 417.7487134501, 38
909, 418.20821346490004, 48
910, 418.6677134797, 48
911, 419.12721349450004, 43
912, 419.5867135093, 47
913, 420.04621352410004, 34
914, 420.5057135389, 42
915, 420.96521355370004, 43
916, 421.4247135685, 37
917, 421.88421358330004, 52
918, 422.3437135981, 37
919, 422.80321361290004, 49
920, 423.2627136277, 35
921, 423.72221364250004, 45
922, 424.1817136573, 53
923, 424.64121367210004, 38
924, 425.1007136869, 38
925, 425.56021370170004, 38
926, 426.0197137165, 40
927, 426.47921373130004, 37
928, 426.9387137461, 46
929, 427.39821376090003, 50
930, 427.8577137757, 41
931, 428.31721379050003, 42
932, 428.7767138053, 45
933, 429.23621382010003, 40
934, 429.6957138349, 40
935, 430.15521384970003, 31
936, 430.6147138645, 42
937, 431.07421387930003, 38
938, 431.5337138941, 39
939, 431.99321390890003, 42
940, 432.45271392370006, 40
941, 432.91221393850003, 53
942, 433.37171395330006, 42
943, 433.83121396810003, 41
944, 434.29071398290006, 44
945, 434.75021399770003, 49
946, 435.20971401250006, 36
947, 435.66921402730003, 41
948, 436.12871404210006, 55
949, 436.58821405690003, 45
950, 437.04771407170006, 44
951, 437.5072140865, 49
952, 437.96671410130006, 54
953, 438.4262141161, 36
954, 438.88571413090006, 43
955, 439.3452141457, 45
956, 439.80471416050005, 42
957, 440.2642141753, 31
958, 440.72371419010005, 39
959, 441.1832142049, 42
960, 441.64271421970005, 47
961, 442.1022142345, 43
962, 442.56171424930005, 49
963, 443.0212142641, 44
964, 443.48071427890005, 38
965, 443.9402142937, 45
966, 444.39971430850005, 47
967, 444.8592143233, 46
968, 445.31871433810005, 35
969, 445.7782143529, 50
970, 446.23771436770005, 44
971, 446.6972143825, 46
972, 447.15671439730005, 50
973, 447.6162144121, 32
974, 448.07571442690005, 40
975, 448.5352144417, 47
976, 448.99471445650005, 36
977, 449.4542144713, 48
978, 449.91371448610005, 38
979, 450.3732145009, 50
980, 450.83271451570005, 47
981, 451.2922145305, 41
982, 451.75171454530005, 51
983, 452.2112145601, 47
984, 452.67071457490005, 64
985, 453.1302145897, 68
986, 453.58971460450005, 53
987, 454.0492146193, 73
988, 454.50871463410004, 55
989, 454.9682146489, 78
990, 455.42771466370004, 67
991, 455.8872146785, 86
992, 456.34671469330004, 86
993, 456.8062147081, 105
994, 457.26571472290004, 112
995, 457.7252147377, 111
996, 458.18471475250004, 111
997, 458.6442147673, 131
